"School.Name","County","LocaleType","Student.Teacher.Ratio","Free.Lunch"
"Phoenix High School","Benton","Rural",18.7,31
"Phoenix Program","Pierce","Suburb",35,15
"PI Program","Jefferson","Rural",20.5,36
"Picnic Point Elementary","Snohomish","Suburb",21.4,216
"Pierce County Skills Center","Pierce","Suburb",0.4,NA
"Pine Lake Middle School","King","Suburb",23,29
"Pine Tree Elementary School","King","City",16.9,337
"Pinecrest Elementary","Kitsap","Suburb",16.6,157
"Pinewood Elementary","Snohomish","Suburb",19.8,229
"Pioneer Elementary","Snohomish","Suburb",19.5,150
"Pioneer Elementary","Grant","Town",15.9,317
"Pioneer Elementary School","Mason","Rural",16.8,192
"Pioneer Elementary School","Thurston","City",18.7,78
"Pioneer Elementary School","Yakima","Town",17.9,654
"Pioneer Elementary School","King","City",17.6,365
"Pioneer Elementary School","Clark","Rural",18.1,325
"Pioneer Middle","Pierce","Suburb",20.9,156
"Pioneer Middle School","Chelan","City",19.3,380
"Pioneer Middle School","Walla Walla","City",18.3,334
"Pioneer Middle School","Mason","Rural",15.7,196
"Pioneer Valley Elementary","Pierce","Suburb",16.6,129
"Pleasant Glade Elementary","Thurston","Suburb",13.8,236
"Pleasant Valley Middle","Clark","Suburb",15.6,144
"Pleasant Valley Primary","Clark","Suburb",18.6,194
"Point Defiance","Pierce","City",19.6,171
"Point Roberts Primary","Whatcom","Rural",15,3
"Pomeroy Elementary School","Garfield","Rural",16.6,70
"Pomeroy Jr Sr High School","Garfield","Rural",18.1,51
"Ponderosa Elementary","Spokane","City",18.5,103
"Pope Elementary","Pierce","Suburb",22.5,144
"Port Angeles High School","Clallam","Town",20.1,419
"Port Gardner","Snohomish","City",37.1,18
"Port Susan Middle School","Snohomish","Town",20.5,114
"Port Townsend High School","Jefferson","Town",18.3,134
"Post Middle School","Snohomish","Suburb",19.9,204
"Poulsbo Elementary School","Kitsap","Suburb",16.4,157
"Poulsbo Middle School","Kitsap","Suburb",20.2,189
"Prairie High School","Clark","Suburb",21.4,365
"Prairie View Elementary","Spokane","Suburb",20.2,71
"Preschool","Skamania","Rural",19,10
"PreSchool and ECEAP","Pierce","Suburb",NA,11
"Preschool Infant Other","Clark","Rural",NA,8
"Prescott Elementary School","Walla Walla","Rural",7.2,101
"Prescott Jr Sr High","Walla Walla","Rural",13.7,130
"Prescott Special Ed Pre-school","Walla Walla","Rural",NA,NA
"Presidents Elementary","Snohomish","Suburb",17.5,171
"Preston Hall Middle School","Walla Walla","Rural",13.1,24
"PRIDE Prep School","Spokane","City",17.1,73
"Private School Services","King","City",NA,3
"Progress Elementary School","Spokane","City",15.8,164
"Prospect Point Elementary","Walla Walla","Suburb",16.9,112
"Prosser Heights Elementary","Benton","Town",16.3,282
"Prosser High School","Benton","Town",21,455
"Prove High School","Snohomish","Suburb",NA,0
"Prune Hill Elem","Clark","Suburb",19,60
"PSD Special Services","Pierce","Suburb",8.2,0
"Ptarmigan Ridge Elementary School","Pierce","Suburb",20.4,228
"Puesta del Sol Elementary School","King","City",23.1,26
"Puget Sound High School","King","Suburb",NA,50
"Puget Sound Skills Center","King","Suburb",NA,0
"Pullman High School","Whitman","Town",21.5,167
"Purdy Elementary School","Pierce","Suburb",17.2,80
"Puyallup High School","Pierce","Suburb",24.3,431
"Puyallup Parent Partnership Program","Pierce","Suburb",NA,NA
"Queen Anne Elementary","King","City",20.1,23
"Queets-Clearwater Elementary","Jefferson","Rural",6.3,15
"Quest","Pierce","Suburb",NA,0
"Quil Ceda Tulalip Elementary","Snohomish","Suburb",13.9,377
"Quilcene High And Elementary","Jefferson","Rural",12.4,81
"Quincy High School","Grant","Town",21.1,539
"Quincy High Tech High","Grant","Town",7.7,29
"Quincy Junior High","Grant","Town",18.6,278
"R A Long High School","Cowlitz","City",22.4,449
"R E Bennett Elementary","Lewis","Town",17,188
"Rainier Beach High School","King","City",16.1,422
"Rainier Elementary School","Thurston","Rural",16.1,176
"Rainier Elementary School","Pierce","Suburb",17.8,194
"Rainier Middle School","King","City",21.4,337
"Rainier Middle School","Thurston","Rural",21.9,79
"Rainier Prep","King","Suburb",23.7,105
"Rainier Senior High School","Thurston","Rural",18.3,105
"Rainier Valley Leadership Academy",NA,NA,NA,NA
"Rainier View Elementary School","King","Suburb",18.1,339
"Rainier View Elementary School","King","City",16.4,103
"Raisbeck Aviation High School","King","Suburb",20.9,36
"Raymond Elementary School","Pacific","Rural",15,171
"Raymond Home Link School","Pacific","Rural",84,10
"Raymond Jr Sr High School","Pacific","Rural",12.1,131
"re-engagement","Spokane","Suburb",NA,NA
"Re-Engagement School (Nine Mile Falls)","Stevens","Town",NA,NA
"Re-Entry High School","Pierce","City",NA,0
"Re-Entry Middle School","Pierce","City",NA,0
"Ready Start Preschool","King","City",1.5,NA
"Reardan Elementary School","Lincoln","Rural",17.5,102
"Reardan Middle-Senior High School","Lincoln","Rural",16,69
"Red Rock Elementary","Grant","Rural",17.2,425
"Redmond Elementary","King","City",15.4,97
"Redmond High","King","City",21.6,171
"Redmond Middle School","King","City",20.8,146
"Reed","Pierce","City",16.2,350
"Reeves Middle School","Thurston","City",19.5,123
"Regal Elementary","Spokane","City",14.8,384
"Regional Justice Center","King","City",8,NA
"Remann Hall Juvenile Detention Center","Pierce","City",15.7,23
"Renaissance Alternative High School","Kitsap","City",20.7,108
"Renaissance School","King","Suburb",21.8,0
"Renton Academy","King","City",5.4,29
"Renton Park Elementary School","King","City",16.3,263
"Renton Senior High School","King","City",22.1,765
"Republic Elementary School","Ferry","Rural",14.3,87
"Republic Junior High","Ferry","Rural",10.3,21
"Republic Parent Partner","Ferry","Rural",38,9
"Republic Senior High School","Ferry","Rural",11.9,41
"Residential Consortium","King","City",NA,0
"Richard Gordon Elementary","Kitsap","Rural",17,110
"Richland High School","Benton","City",26.4,466
"Ridge View Elementary School","Benton","City",20.1,99
"Ridgecrest Elementary","Pierce","Suburb",20.5,176
"Ridgecrest Elementary","King","Suburb",20.3,119
"Ridgefield High School","Clark","Town",26.6,149
"Ridgeline Middle School","Thurston","Town",18.5,189
"Ridgetop Middle School","Kitsap","City",19.1,102
"Ridgeview Elementary","Spokane","City",13.9,206
"Ridgeview Elementary","Yakima","City",18.2,574
"Ridgeview Group Home","Yakima","City",NA,6
"Ridgewood Elementary School","King","Suburb",21.2,82
"Risdon Middle School",NA,NA,NA,NA
"Ritzville Grade School","Adams","Rural",15.1,73
"Ritzville High School","Adams","Rural",14.3,27
"River Ridge High School","Thurston","Suburb",18.4,383
"River View High School","Benton","Suburb",20.5,168
"Riverpoint Academy","Spokane","Suburb",18.4,14
"Rivers Edge High School","Benton","City",16.8,85
"Riverside Elementary","Spokane","Rural",14.8,169
"Riverside Elementary","Pierce","Suburb",NA,0
"Riverside High School","Spokane","Rural",20,186
"Riverside Middle School","Spokane","Rural",15.4,144
"Riverview Elementary","Snohomish","Suburb",19.7,130
"Riverview Elementary School","Clark","City",16.9,194
"Robert E Lee Elementary","Douglas","Suburb",16.9,299
"Robert Eagle Staff Middle School",NA,NA,NA,NA
"Robert Frost Elementary","Franklin","Suburb",21.1,486
"Robert Gray Elementary","Grays Harbor","Town",17.2,240
"Robert Gray Elementary","Cowlitz","Suburb",16.5,175
"Robert L Olds Junior High School","Franklin","Rural",16.2,198
"Robert Lince Early Learning Center","Yakima","Suburb",11.7,15
"Robertson Elementary","Yakima","City",19.3,468
"Rochester High School","Thurston","Rural",19.3,253
"Rochester Middle School","Thurston","Town",17.1,225
"Rochester Primary School","Thurston","Rural",17.5,250
"Rock Creek Elementary","King","Suburb",22,125
"Rock Island Elementary","Douglas","Suburb",15.4,185
"Rockwell Elementary","King","City",19.3,19
"Rocky Ridge Elementary","Pierce","Rural",16.3,219
"Rogers High School","Spokane","City",16.1,1043
"Rogers High School","Pierce","Suburb",23.8,443
"Roosevelt","Pierce","City",11.4,200
"Roosevelt Elementary","Spokane","City",15.3,325
"Roosevelt Elementary","Yakima","Town",19.1,554
"Roosevelt Elementary School","Whatcom","City",15.9,221
"Roosevelt Elementary School","Clark","City",16.8,506
"Roosevelt Elementary School","Yakima","City",18.6,482
"Roosevelt Elementary School","Clallam","Town",17.3,216
"Roosevelt Elementary School","Klickitat","Rural",13.7,0
"Roosevelt Elementary School","Thurston","City",18.3,140
"Roosevelt High School","King","City",21.8,161
"Rosa Parks Elementary","King","Suburb",20.3,13
"Rosalia Elementary & Secondary School","Whitman","Rural",10.3,91
"Rosalind Franklin STEM Elementary","Franklin","Rural",20,279
"Rose Hill Elementary","King","Suburb",14.3,96
"Rose Hill Middle School","King","City",20.7,114
"Rose Valley Elementary","Cowlitz","Rural",16,31
"Rowena Chess Elementary","Franklin","Suburb",17.4,474
"Roxhill Elementary School","King","City",11.2,196
"Roy Elementary","Pierce","Town",14.3,123
"Royal High School","Grant","Rural",20.8,327
"Royal Intermediate School","Grant","Rural",24,303
"Royal Middle School","Grant","Rural",19.9,173
"Rush Elementary","King","City",17.3,34
"Ruth Livingston Elementary","Franklin","Suburb",20.4,233
"Sacajawea Elementary","Benton","City",15.9,159
"Sacajawea Elementary School","King","City",14.4,52
"Sacajawea Elementary School","Clark","Suburb",15,208
"Sacajawea Middle School","Spokane","City",18.2,227
"Sacajawea Middle School","King","Suburb",17.9,397
"Sacred Heart Hospital","Spokane","City",NA,0
"Saddle Mountain Elementary","Grant","Rural",22,345
"Sadie Halstead Middle School","Pend Oreille","Town",17.2,184
"Sage Crest Elementary",NA,NA,NA,NA
"Sage Hills High School","Grant","Rural",12.5,38
"Sage Hills Open Doors",NA,NA,NA,NA
"Sage Point Elementary School","Grant","Town",19.8,115
"Saint Helens Elementary","Cowlitz","City",15,294
"Sakai Intermediate","Kitsap","Rural",19,47
"Salem Woods Elementary School","Snohomish","Rural",19,105
"Salish Middle School",NA,NA,NA,NA
"Salk Middle School","Spokane","City",18.1,263
"Salmon Bay K-8 School","King","City",18.4,43
"Salmon Creek Elementary","Clark","Suburb",18.7,144
"Salnave Elementary","Spokane","Town",15.6,163
"Saltars Point Elementary","Pierce","Suburb",18,82
"Samish Elementary School","Skagit","Rural",18.3,68
"Sammamish Senior High","King","City",18.7,302
"Sand Hill Elementary","Mason","Town",16.7,289
"Sand Point Elementary","King","City",13.9,74
"Sandburg Elementary","King","Suburb",18.5,28
"Sanislo Elementary School","King","City",13.7,134
"Sarah J Anderson Elementary","Clark","Suburb",16.5,395
"Saratoga School","Snohomish","Town",57.3,13
"Satellite High School","King","Suburb",NA,0
"Satsop Elementary","Grays Harbor","Town",19.2,22
"Satus Elementary","Yakima","Town",18.9,570
"Sawyer Woods Elementary School","King","Suburb",19,95
"SCCP Images","Spokane","City",12,24
"Scenic Hill Elementary School","King","City",17.3,456
"School Home Partnership Program","Snohomish","Suburb",27.2,39
"School to Life","Spokane","City",NA,26
"Science and Math Institute","Pierce","City",19.6,155
"Scootney Springs Elementary","Adams","Town",21.3,371
"Scriber Lake High School","Snohomish","Suburb",21.1,132
"SE AREA TECHNICAL SKILLS CENTER","Walla Walla","City",NA,0
"Seahurst Elementary School","King","Suburb",18.7,414
"Seattle Hill Elementary","Snohomish","Suburb",21.5,107
"Seattle Skills Center","King","City",NA,0
"Seattle World School","King","City",10.9,114
"Seaview Elementary","Snohomish","Suburb",18.3,92
"Secondary Academy for Success","Snohomish","Suburb",12.2,39
"Secondary Options","Thurston","City",26.8,36
"Sedro Woolley Senior High School","Skagit","Suburb",20.2,445
"Sehome High School","Whatcom","City",22.9,260
"Selah Academy","Yakima","Suburb",15.8,23
"SELAH ACADEMY REENGAGEMENT PROGRAM","Yakima","Suburb",NA,0
"Selah High School","Yakima","Suburb",20.5,338
"Selah HomeLink","Yakima","Suburb",NA,3
"Selah Intermediate School","Yakima","Suburb",19.1,357
"Selah Middle School","Yakima","Suburb",20.7,354
"Selkirk Elementary","Pend Oreille","Rural",18.4,58
"Selkirk High School","Pend Oreille","Rural",14,27
"Selkirk Middle School","Pend Oreille","Rural",12.6,16
"Sentinel Tech Alt School","Grant","Rural",27,16
"Sequim Community School","Clallam","Town",24.4,48
"Sequim Middle School","Clallam","Town",19.3,241
"Sequim Senior High","Clallam","Town",20.9,288
"Sequoia High School","Snohomish","City",11.1,128
"Sequoyah Middle School","King","Suburb",20,353
"Serene Lake Elementary","Snohomish","Suburb",18.7,162
"Seth Woodard Elementary","Spokane","City",16.2,146
"Seven Oaks Elementary","Thurston","Suburb",16,207
"Shadle Park High School","Spokane","City",18.5,533
"Shadow Lake Elementary","King","Suburb",22.7,127
"Shahala Middle School","Clark","City",18.5,248
"Sharpstein Elementary School","Walla Walla","City",17.3,209
"Shaw Island Elementary School","San Juan","Rural",8,5
"Shaw Middle School","Spokane","City",15.2,463
"Shaw Road Elementary","Pierce","Suburb",19.9,105
"Shelton High School","Mason","Town",19.4,558
"Shelton View Elementary","Snohomish","Suburb",21.9,52
"Sheridan","Pierce","City",17.7,446
"Sheridan Elementary","Spokane","City",13.6,331
"Sherman","Pierce","City",19.9,99
"Sherwood Elementary","Snohomish","Suburb",19.1,106
"Sherwood Forest Elementary","King","City",14.4,155
"Sherwood Forest Elementary School","King","Suburb",17.7,194
"Shiloh Hills Elementary","Spokane","City",15.4,355
"Shining Mountain Elementary","Pierce","Suburb",16.9,303
"Shorecrest High School","King","Suburb",22.3,284
"Shoreline-Monroe High School","King","Suburb",NA,10
"Shorewood Elementary","King","Suburb",18.3,289
"Shorewood High School","King","Suburb",21.7,329
"Shoultes Elementary","Snohomish","Suburb",18,241
"Showalter Middle School","King","Suburb",16.9,467
"Shrine Hospital","Spokane","City",NA,0
"SHS Graduation Alliance","Yakima","Town",NA,NA
"Shuksan Middle School","Whatcom","City",16.9,317
"Sidney Glen Elementary School","Kitsap","Suburb",20.5,292
"Sierra Heights Elementary School","King","City",16.9,219
"Sierra Vista Middle School","Yakima","Town",19.3,601
"Sifton Elementary School","Clark","Suburb",14.9,242
"Silver Beach Elementary School","Whatcom","City",20.9,73
"Silver Firs Elementary","Snohomish","Suburb",19.6,73
"Silver Lake Elementary - Everett","Snohomish","City",20.2,257
"Silver Lake Elementary School - Federal Way","King","Suburb",17,228
"Silver Ridge Elementary","Kitsap","City",16.3,99
"Silver Star Elementary School","Clark","Suburb",16,236
"Silverdale Elementary","Kitsap","City",19,126
"Simpson Avenue Elementary","Grays Harbor","Town",20.1,100
"Skagit County Detention Center","Skagit","City",NA,NA
"Skagit Family Learning Center MVSD","Skagit","City",68.2,57
"Skagit River School House","Skagit","Rural",13.3,NA
"Skamania Elementary","Skamania","Rural",13.6,42
"Skill Source","Chelan","City",NA,NA
"Skill Source Learning Center","Grant","Town",NA,32
"Sky Valley Education Center","Snohomish","Suburb",38.4,56
"Sky Valley Options",NA,NA,NA,NA
"Skykomish Elementary School","King","Rural",6.8,23
"Skykomish High School","King","Rural",3.7,13
"Skyline","Pierce","City",15.9,219
"Skyline Elementary","Snohomish","Suburb",18.5,169
"Skyline Elementary School","Whatcom","Suburb",17.4,147
"Skyline High School","King","Suburb",25.2,77
"Skyridge Middle School","Clark","Suburb",20.8,76
"Skyview High School","Clark","Suburb",23.6,439
"Skyview Middle School","Snohomish","Suburb",22.4,124
"Smith Elementary","King","Suburb",20.5,13
"Smith Elementary School","Yakima","Town",20.8,518
"Smokiam Alternative High School","Grant","Rural",26.8,29
"Sno Co Jail","Snohomish","City",NA,0
"Sno-Isle Skills Center","Snohomish","City",NA,0
"Snohomish Center","Snohomish","Suburb",NA,9
"Snohomish Detention Center","Snohomish","City",NA,NA
"Snohomish High School","Snohomish","Suburb",24,312
"Snohomish Online Learning","Snohomish","Suburb",NA,0
"Snoqualmie Access","King","Town",NA,15
"Snoqualmie Elementary","King","Town",20.2,87
"Snoqualmie Parent Partnership Program","King","Town",NA,3
"Soap Lake Elementary","Grant","Rural",14.2,195
"Soap Lake Middle & High School","Grant","Rural",18.3,189
"SOAR Academy Public Charter School","Pierce","City",16.8,51
"Somerset Elementary School","King","City",19.7,21
"Soos Creek Elementary School","King","City",16,152
"South Bay Elementary","Thurston","Rural",20.2,198
"South Bend High School","Pacific","Town",12.5,151
"South Bend Home Link","Pacific","Town",NA,5
"South Colby Elementary","Kitsap","Suburb",20.9,82
"South Kitsap High School","Kitsap","Suburb",21.3,491
"South Lake High School","King","City",8.8,69
"South Pines Elementary","Spokane","City",16.7,151
"South Ridge Elementary","Clark","Rural",22.2,161
"South Shore PK-8 School","King","City",14.4,302
"South Sound High School","Thurston","Suburb",20.6,99
"South Whidbey Academy","Island","Rural",19.7,37
"South Whidbey Elementary","Island","Rural",18.4,154
"South Whidbey High School","Island","Rural",19.2,81
"South Whidbey Middle","Island","Rural",16.7,57
"South Whidbey Special Services","Island","Rural",NA,3
"Southern Heights Elementary","King","Suburb",16.6,216
"Southgate Elementary School","Benton","City",20.7,263
"Southridge High School","Benton","Rural",23.7,710
"Southside Elementary","Mason","Town",17.3,59
"Southwest Youth and Family Services","King","City",NA,0
"Southwood Elementary School","King","Rural",16.6,74
"Southworth Elementary","Thurston","Rural",17.8,181
"Spanaway Elementary","Pierce","Suburb",13.7,160
"Spanaway Lake High School","Pierce","Suburb",24.9,691
"Spanaway Middle School","Pierce","Suburb",20,350
"Special Ed School","King","Suburb",27,15
"Special Ed School","King","City",43.3,42
"Special Education","Cowlitz","Suburb",NA,4
"Special Education","Island","Town",20.4,36
"Special Education","Clallam","Town",NA,18
"Special Education Pre-School","Douglas","Suburb",NA,0
"Special Education School","Chelan","City",64.7,5
"Special Education Services/relife","Pierce","City",NA,8
"Special Programs","Benton","City",25.5,19
"Special Programs","Kitsap","Suburb",NA,13
"Special Services","Snohomish","City",55,20
"Special Services","Pierce","City",NA,23
"Special Services","Asotin","Suburb",NA,16
"Special Services","Kitsap","City",NA,25
"Special Services","Snohomish","City",NA,59
"Special Services School","Skagit","Rural",NA,NA
"Spinning Elementary","Pierce","Suburb",16.3,158
"Spiritridge Elementary School","King","City",19.8,44
"Spokane Area Professional-Technical Skills Center","Spokane","City",NA,0
"Spokane County Jail","Spokane","City",NA,0
"Spokane International Academy Elementary","Spokane","City",NA,50
"Spokane Juvenile Detention School","Spokane","City",NA,25
"Spokane Public Montessori","Spokane","City",18.3,105
"Spokane Regional Health District","Spokane","City",NA,0
"Spokane Valley High School","Spokane","City",13.8,37
"Spokane Valley Learning Academy","Spokane","City",20.3,19
"Spokane Valley Tech","Spokane","City",0.7,NA
"Spokane Valley Transition School","Spokane","City",42,97
"Sprague Elementary","Lincoln","Rural",9.6,28
"Sprague High School","Lincoln","Rural",5.7,12
"Springbrook Elementary School","King","City",17.5,347
"Springdale Academy","Stevens","Rural",NA,NA
"Springdale Elementary","Stevens","Rural",15.3,122
"Springdale Middle School","Stevens","Rural",15.7,65
"Spruce Elementary","Snohomish","Suburb",17.6,231
"Squalicum High School","Whatcom","City",23.5,496
"St John Elementary","Whitman","Rural",13.2,26
"St John/Endicott High","Whitman","Rural",11.5,29
"Stadium","Pierce","City",22.3,468
"Stahl Junior High","Pierce","Suburb",21.9,253
"Stanley","Pierce","City",13.3,244
"Stanton Academy","Yakima","City",18.1,291
"Stanwood Elementary School","Snohomish","Town",18.7,138
"Stanwood High School","Snohomish","Town",22.6,234
"Stanwood Middle School","Snohomish","Town",22.1,95
"Star Elem School","Franklin","Rural",4.5,0
"Star Lake Elementary School","King","City",16.6,211
"Starbuck School","Columbia","Rural",11.4,0
"State Street High School","Skagit","Suburb",26.1,113
"Stehekin Elementary","Chelan","Rural",3,NA
"Steilacoom High","Pierce","Suburb",21.1,157
"Stella Schola","King","City",28.4,3
"Step Up to College Open Doors High School","Yakima","Town",NA,0
"Steptoe Elementary School","Whitman","Rural",11.4,10
"Sterling Intermediate School","Douglas","Suburb",19.4,386
"Stevens Elementary","Spokane","City",13.6,423
"Stevens Elementary School","King","City",14.9,97
"Stevens Elementary School","Grays Harbor","Town",16.7,333
"Stevens Middle School","Clallam","Town",19,253
"Stevens Middle School","Franklin","Suburb",16.3,551
"Stevenson Elementary","Skamania","Rural",17.9,94
"Stevenson Elementary","King","City",14.9,197
"Stevenson High School","Skamania","Rural",23.6,122
"Stewart","Pierce","City",13.1,227
"Stewart Elementary","Pierce","Suburb",18.9,180
"Stillaguamish School","Snohomish","Suburb",39.1,31
"Stillwater Elementary","King","Rural",19.5,68
"Stratton Elementary","Pend Oreille","Town",14.6,224
"Structural Alt Confinement School","Spokane","City",NA,13
"Student Link","King","Rural",28.9,3
"Student Services School","Snohomish","Town",NA,8
"Student Success Open Doors Academy",NA,NA,NA,NA
"Sultan Elementary School","Snohomish","Town",16.7,226
"Sultan Middle School","Snohomish","Town",19.9,182
"Sultan Senior High School","Snohomish","Town",20.1,181
"Sumas Elementary","Whatcom","Rural",14.9,114
"Summit Public School: Atlas",NA,NA,NA,NA
"Summit Public School: Olympus","Pierce","City",17.2,52
"Summit Public School: Sierra","King","City",18.5,39
"Summit School","Spokane","City",18.8,52
"Summit Trail Middle School","King","Suburb",22.7,78
"Summit Valley School","Stevens","Rural",11.3,33
"Summit View High School","Clark","Rural",32.4,161
"Summitview Elementary","Yakima","City",17.9,148
"Sumner High School","Pierce","Suburb",25.6,424
"Sumner Middle School","Pierce","Suburb",21.4,230
"Sumner Special Services","Pierce","Suburb",NA,9
"Sun Valley Elementary","Yakima","Rural",15,461
"Sunny Hills Elementary","King","Suburb",19,28
"Sunnycrest Elementary School","King","City",17.5,408
"Sunnycrest Elementary School","Snohomish","Suburb",22.3,138
"Sunnyland Elementary School","Whatcom","City",15,147
"Sunnyside Elementary","Snohomish","Suburb",20.6,157
"Sunnyside Elementary","Whitman","Town",22.9,118
"Sunnyside High School","Yakima","Town",22.5,1506
"Sunnyslope Elementary School","Kitsap","Suburb",19.2,135
"Sunnyslope Elementary School","Chelan","Suburb",20.1,79
"Sunrise Elementary","Pierce","Suburb",18.9,203
"Sunrise Elementary","King","Suburb",18.9,10
"Sunrise Elementary","King","Rural",18.3,121
"Sunrise Elementary","Spokane","City",19.6,112
"Sunrise Elementary School","King","City",19,155
"Sunset Elementary","King","City",20.5,34
"Sunset Elementary","Spokane","Suburb",15.3,236
"Sunset Elementary School","Clark","Suburb",16.9,252
"Sunset Primary","Pierce","Suburb",15.9,117
"Sunset View Elementary School","Benton","City",18.7,201
"Support School","King","Suburb",NA,20
"Suquamish Elementary School","Kitsap","Suburb",16.5,164
"Surprise Lake Middle School","Pierce","Suburb",22.2,212
"SVI 1418 Re-Engagement Program",NA,NA,NA,NA
"SVSD OPEN DOORS","King","Town",NA,NA
"Swiftwater Learning Center","Kittitas","Town",31,20
"Sylvester Middle School","King","Suburb",17.8,429
"Tacoma Business Academy","Pierce","City",NA,0
"Tacoma Pierce County Education Center","Pierce","City",NA,0
"Tacoma School of the Arts","Pierce","City",18.1,191
"TAFA at Saghalie",NA,NA,NA,NA
"Taholah Elementary & Middle School","Grays Harbor","Rural",13.3,71
"Taholah High School","Grays Harbor","Rural",6.8,45
"Tahoma Elementary",NA,NA,NA,NA
"Tahoma Senior High School","King","Suburb",24.1,198
"Talbot Hill Elementary School","King","City",17.2,186
"Talley High School","King","Suburb",16.8,164
"Tapteal Elementary School","Benton","Suburb",22.5,209
"TCC Fresh Start","Pierce","City",NA,0
"TEAM High School","Cowlitz","Town",48.3,36
"Tekoa Elementary School","Whitman","Rural",13.5,55
"Tekoa High School","Whitman","Rural",11.1,37
"Tenino Elementary School","Thurston","Rural",17.7,130
"Tenino High School","Thurston","Rural",18.2,125
"Tenino Middle School","Thurston","Rural",20.2,121
"Terminal Park Elementary School","King","City",15.8,273
"Terrace Heights Elementary","Yakima","Suburb",18.1,256
"Terrace Park Elementary","Snohomish","Suburb",19,105
"Tesla STEM High School","King","Suburb",22.8,11
"The Center School","King","City",19,36
"The Community School","Spokane","City",19.3,57
"The Healing Lodge","Spokane","City",NA,NA
"The Outreach Program",NA,NA,NA,NA
"Thomas Jefferson High School","King","Suburb",21.7,794
"Thompson Elementary School","Yakima","Town",19.9,480
"Thompson Preschool","Pierce","Suburb",NA,125
"Thoreau Elementary","King","Suburb",19.1,57
"Thorndyke Elementary","King","Suburb",16.8,320
"Thornton Creek Elementary School","King","City",16,18
"Thorp Elem & Jr Sr High","Kittitas","Rural",8.9,52
"Three Rivers Home Link","Benton","City",46.7,64
"Three Springs High School","Spokane","Town",14.6,26
"Thunder Mountain Middle School","King","Suburb",21.6,112
"Thurgood Marshall Elementary","King","City",17.1,111
"Thurgood Marshall Middle School","Thurston","City",18.7,126
"Thurs Co Juv Det/Tumwater West E","Thurston","City",9,6
"Tieton Intermediate School","Yakima","Rural",15.9,195
"Tiffany Park Elementary School","King","City",16,238
"Tillicum Elementary School","Pierce","City",17.6,303
"Tillicum Middle School","King","City",17.4,87
"Timber Ridge Elementary School",NA,NA,NA,NA
"Timbercrest Middle School","King","Suburb",22.3,45
"Timberline High School","Thurston","Suburb",22.1,513
"Todd Beamer High School","King","Suburb",22.9,780
"Toddler Learning Center","Island","Town",NA,0
"Toledo Elementary School","Lewis","Rural",16.4,147
"Toledo High School","Lewis","Rural",20.3,86
"Toledo Middle School","Lewis","Rural",18.7,63
"Tolt Middle School","King","Suburb",18.2,87
"Tonasket Elementary School","Okanogan","Rural",16.5,363
"Tonasket High School","Okanogan","Rural",14.8,153
"Tonasket Middle School","Okanogan","Rural",23.4,152
"Toppenish High School","Yakima","Town",20.8,788
"Toppenish Middle School","Yakima","Town",20.3,746
"Toppenish Pre School","Yakima","Town",8.5,41
"Tops K-8 School","King","City",18.9,104
"Totem Falls","Snohomish","Suburb",19,26
"Totem Middle School","Snohomish","Suburb",18.3,224
"Totem Middle School","King","City",16.2,444
"Touchet Elem & High School","Walla Walla","Rural",12,101
"Touchstone","Thurston","City",1,NA
"Toutle Lake Elementary","Cowlitz","Rural",20.3,106
"Toutle Lake High School","Cowlitz","Rural",17.9,84
"Transition Day Students","Pierce","City",NA,3
"Trent School","Spokane","City",17.7,358
"Trentwood School","Spokane","City",17.7,257
"Tri-Tech Skills Center","Benton","City",NA,0
"Trojan Alternative School","Lewis","Rural",NA,NA
"Trout Lake Elementary","Klickitat","Rural",17.2,0
"Trout Lake School","Klickitat","Rural",13.5,0
"Truman","Pierce","City",20.2,408
"Tukes Valley Middle School","Clark","Rural",16.1,136
"Tukes Valley Primary","Clark","Rural",17.4,167
"Tukwila Elementary","King","Suburb",17.3,323
"Tumwater High School","Thurston","City",22.2,272
"Tumwater Hill Elementary","Thurston","City",17.2,114
"Tumwater Middle School","Thurston","City",19.5,130
"Twain Elementary","King","Suburb",17.1,83
"Twin Cedars High School","Skagit","Rural",33.3,NA
"Twin City Elementary","Snohomish","Town",19.8,118
"Twin Falls Middle School","King","Rural",21,91
"Twin Harbors - A Branch of New Market Skills Center","Grays Harbor","Town",NA,NA
"Twin Lakes Elementary School","King","Suburb",17.4,236
"Twin Rivers Group Home","Benton","City",NA,0
"Two Rivers School","King","Town",14.7,32
"Tyee High School",NA,NA,NA,NA
"Tyee Middle School","King","City",18.1,101
"Tyee Park Elementary School","Pierce","City",16.1,387
"Ugrad ? ESD123 Re-Engagement Program","Franklin","Suburb",NA,0
"Unassigned School","Snohomish","Suburb",NA,17
"Union Gap School","Yakima","Suburb",18.8,582
"Union High School","Clark","City",23.5,421
"Union Ridge Elementary","Clark","Town",21.7,196
"University Elementary School","Spokane","City",13.4,135
"University High School","Spokane","City",21,519
"University Place Primary","Pierce","Suburb",15.3,174
"Utsalady Elementary","Island","Rural",17.9,62
"VALE ELEMENTARY SCHOOL","Chelan","Town",17.9,260
"Valhalla Elementary School","King","Suburb",16.4,353
"Valley Academy Of Learning","Chelan","City",49.1,24
"Valley Early Learning Center","Stevens","Rural",NA,NA
"Valley School","Stevens","Rural",14.4,144
